dish_id;name_of_dish;price;dish_discount;dish_category;is_available
1;капучино;180.00;0.00;кофейные напитки;True
2;латте;200.00;0.00;кофейные напитки;True
3;американо;150.00;0.00;кофейные напитки;True
4;раф;220.00;0.00;кофейные напитки;True
5;флэт уайт;210.00;0.00;кофейные напитки;True
6;эспрессо;90.00;0.00;кофейные напитки;True
7;матча латте;230.00;0.00;чайные напитки;True
8;чай черный ассам;160.00;0.00;чайные напитки;True
9;чай зеленый сенча;160.00;0.00;чайные напитки;True
10;имбирный чай с лимоном;180.00;0.00;чайные напитки;True
11;Добрый кола;120.00;0.00;прохладительные напитки;True
12;Добрый апельсин;120.00;0.00;прохладительные напитки;True
13;Добрый лимон-лайм;120.00;0.00;прохладительные напитки;True
14;"Вода ""Святой источник"" негазированная";90.00;0.00;прохладительные напитки;True
15;айс-раф вишня;270.00;0.00;авторские напитки;True
16;матча сакура;220.00;0.00;авторские напитки;True
17;лимонад мята-базилик;190.00;0.00;авторские напитки;True
18;бабл-ти тапиока-карамель;300.00;0.00;авторские напитки;True
19;матча кокос;280.00;0.00;авторские напитки;True
20;латте вишня-розовый перец;230.00;0.00;авторские напитки;True
21;раф крем-брюле;230.00;0.00;авторские напитки;True
22;блинчики с творогом;190.00;0.00;завтраки;True
23;сырники;180.00;0.00;завтраки;True
24;поке боул форель;320.00;0.00;завтраки;True
25;каша рисовая с манго;180.00;0.00;завтраки;True
26;блинчики с курицей;190.00;0.00;завтраки;True
27;ролл с курицей и соусом блю-чиз;250.00;0.00;сэндвичи и выпечка;True
28;бейгл с индейкой;260.00;0.00;сэндвичи и выпечка;True
29;сэндвич с ветчиной;210.00;0.00;сэндвичи и выпечка;True
30;круассан миндальный;170.00;0.00;сэндвичи и выпечка;True
31;кекс лимонный с черникой ;170.00;0.00;сэндвичи и выпечка;True
32;батончик протеиновый;120.00;0.00;снеки;True
33;батончик с маршмеллоу;100.00;0.00;снеки;True
34;батончик арахисовый;130.00;0.00;снеки;True
