,dish_id,name_of_dish,price,dish_discount,dish_category,is_available
0,1,капучино,180.0,0.0,кофейные напитки,True
1,2,латте,200.0,0.0,кофейные напитки,True
2,3,американо,150.0,0.0,кофейные напитки,True
3,4,раф,220.0,0.0,кофейные напитки,True
4,5,флэт уайт,210.0,0.0,кофейные напитки,True
5,6,эспрессо,90.0,0.0,кофейные напитки,True
6,7,матча латте,230.0,0.0,чайные напитки,True
7,8,чай черный ассам,160.0,0.0,чайные напитки,True
8,9,чай зеленый сенча,160.0,0.0,чайные напитки,True
9,10,имбирный чай с лимоном,180.0,0.0,чайные напитки,True
10,11,Добрый кола,120.0,0.0,прохладительные напитки,True
11,12,Добрый апельсин,120.0,0.0,прохладительные напитки,True
12,13,Добрый лимон-лайм,120.0,0.0,прохладительные напитки,True
13,14,"Вода ""Святой источник"" негазированная",90.0,0.0,прохладительные напитки,True
14,15,айс-раф вишня,270.0,0.0,авторские напитки,True
15,16,матча сакура,220.0,0.0,авторские напитки,True
16,17,лимонад мята-базилик,190.0,0.0,авторские напитки,True
17,18,бабл-ти тапиока-карамель,300.0,0.0,авторские напитки,True
18,19,матча кокос,280.0,0.0,авторские напитки,True
19,20,латте вишня-розовый перец,230.0,0.0,авторские напитки,True
20,21,раф крем-брюле,230.0,0.0,авторские напитки,True
21,22,блинчики с творогом,190.0,0.0,завтраки,True
22,23,сырники,180.0,0.0,завтраки,True
23,24,поке боул форель,320.0,0.0,завтраки,True
24,25,каша рисовая с манго,180.0,0.0,завтраки,True
25,26,блинчики с курицей,190.0,0.0,завтраки,True
26,27,ролл с курицей и соусом блю-чиз,250.0,0.0,сэндвичи и выпечка,True
27,28,бейгл с индейкой,260.0,0.0,сэндвичи и выпечка,True
28,29,сэндвич с ветчиной,210.0,0.0,сэндвичи и выпечка,True
29,30,круассан миндальный,170.0,0.0,сэндвичи и выпечка,True
30,31,кекс лимонный с черникой ,170.0,0.0,сэндвичи и выпечка,True
31,32,батончик протеиновый,120.0,0.0,снеки,True
32,33,батончик с маршмеллоу,100.0,0.0,снеки,True
33,34,батончик арахисовый,130.0,0.0,снеки,True
