,order_detail_id,order_id,menu_item_id,amount,price_at_order
0,1,1001,34,1,130.0
1,2,1002,21,2,230.0
2,3,1003,4,2,220.0
3,4,1004,5,2,210.0
4,5,1004,34,2,130.0
5,6,1005,5,1,210.0
6,7,1006,2,1,200.0
7,8,1007,6,1,90.0
8,9,1008,3,1,150.0
9,10,1009,6,2,90.0
10,11,1010,2,1,200.0
11,12,1011,5,1,210.0
12,13,1011,5,1,210.0
13,14,1011,4,1,220.0
14,15,1012,24,1,320.0
15,16,1013,4,1,220.0
16,17,1014,4,1,220.0
17,18,1015,4,1,220.0
18,19,1015,3,1,150.0
19,20,1016,2,1,200.0
20,21,1017,1,1,180.0
21,22,1017,2,1,200.0
22,23,1018,3,2,150.0
23,24,1019,4,1,220.0
24,25,1019,6,1,90.0
25,26,1020,33,1,100.0
26,27,1021,5,1,210.0
27,28,1021,4,1,220.0
28,29,1022,3,1,150.0
29,30,1023,6,1,90.0
30,31,1023,4,1,220.0
31,32,1024,6,1,90.0
32,33,1024,2,1,200.0
33,34,1025,2,1,200.0
34,35,1025,6,1,90.0
35,36,1026,2,1,200.0
36,37,1027,5,1,210.0
37,38,1028,2,1,200.0
38,39,1029,6,1,90.0
39,40,1029,6,1,90.0
40,41,1030,3,2,150.0
41,42,1030,25,1,180.0
42,43,1030,1,1,180.0
43,44,1031,5,1,210.0
44,45,1032,5,1,210.0
45,46,1033,3,1,150.0
46,47,1034,4,1,220.0
47,48,1035,24,1,320.0
48,49,1035,5,1,210.0
49,50,1035,17,1,190.0
50,51,1036,2,1,200.0
51,52,1036,1,1,180.0
52,53,1037,11,2,120.0
53,54,1037,6,1,90.0
54,55,1038,1,1,180.0
55,56,1039,2,1,200.0
56,57,1040,6,1,90.0
57,58,1041,5,1,210.0
58,59,1041,6,1,90.0
59,60,1042,5,1,210.0
60,61,1043,27,1,250.0
61,62,1044,1,1,180.0
62,63,1044,5,1,210.0
63,64,1045,3,1,150.0
64,65,1046,5,1,210.0
65,66,1046,2,1,200.0
66,67,1047,29,2,210.0
67,68,1048,3,1,150.0
68,69,1049,6,1,90.0
69,70,1050,1,2,180.0
70,71,1051,2,1,200.0
71,72,1052,10,1,180.0
72,73,1053,4,1,220.0
73,74,1053,25,1,180.0
74,75,1054,5,1,210.0
75,76,1054,5,1,210.0
76,77,1055,4,1,220.0
77,78,1056,2,2,200.0
78,79,1056,6,1,90.0
79,80,1057,6,1,90.0
80,81,1058,5,2,210.0
81,82,1059,6,1,90.0
82,83,1059,31,1,170.0
83,84,1060,6,1,90.0
84,85,1061,6,1,90.0
85,86,1061,6,1,90.0
86,87,1062,6,2,90.0
87,88,1062,18,1,300.0
88,89,1063,2,1,200.0
89,90,1064,1,1,180.0
90,91,1065,2,1,200.0
91,92,1065,1,1,180.0
92,93,1066,4,1,220.0
93,94,1066,1,1,180.0
94,95,1067,5,1,210.0
95,96,1067,2,1,200.0
96,97,1068,2,1,200.0
97,98,1069,3,1,150.0
98,99,1070,3,1,150.0
99,100,1070,4,1,220.0
100,101,1071,17,1,190.0
101,102,1072,2,1,200.0
102,103,1073,5,1,210.0
103,104,1074,2,1,200.0
104,105,1075,5,1,210.0
105,106,1076,6,1,90.0
106,107,1077,4,1,220.0
107,108,1077,3,1,150.0
108,109,1078,3,1,150.0
109,110,1078,4,1,220.0
110,111,1078,1,1,180.0
111,112,1079,28,1,260.0
112,113,1079,6,1,90.0
113,114,1080,3,1,150.0
114,115,1080,1,1,180.0
115,116,1080,5,1,210.0
116,117,1081,2,1,200.0
117,118,1081,2,1,200.0
118,119,1082,2,1,200.0
119,120,1083,3,1,150.0
120,121,1084,3,1,150.0
121,122,1084,1,1,180.0
122,123,1084,2,1,200.0
123,124,1085,5,1,210.0
124,125,1086,3,2,150.0
125,126,1087,4,1,220.0
126,127,1088,6,1,90.0
127,128,1089,4,1,220.0
128,129,1090,4,1,220.0
129,130,1091,2,1,200.0
130,131,1092,4,1,220.0
131,132,1093,5,1,210.0
132,133,1093,2,1,200.0
133,134,1094,9,1,160.0
134,135,1095,4,1,220.0
135,136,1096,10,1,180.0
136,137,1097,1,1,180.0
137,138,1098,5,1,210.0
138,139,1098,4,1,220.0
139,140,1099,6,1,90.0
140,141,1100,2,1,200.0
141,142,1101,1,1,180.0
142,143,1102,1,1,180.0
143,144,1102,6,1,90.0
144,145,1103,3,1,150.0
145,146,1104,3,1,150.0
146,147,1104,2,1,200.0
147,148,1105,5,1,210.0
148,149,1106,4,1,220.0
149,150,1107,3,1,150.0
150,151,1107,1,1,180.0
151,152,1108,5,1,210.0
152,153,1109,6,1,90.0
153,154,1110,5,1,210.0
154,155,1111,6,1,90.0
155,156,1111,28,1,260.0
156,157,1112,2,1,200.0
157,158,1112,1,1,180.0
158,159,1113,3,1,150.0
159,160,1114,1,1,180.0
160,161,1115,2,1,200.0
161,162,1115,6,1,90.0
162,163,1116,4,1,220.0
163,164,1117,2,1,200.0
164,165,1118,5,2,210.0
165,166,1119,4,1,220.0
166,167,1120,5,1,210.0
167,168,1120,1,1,180.0
168,169,1121,1,1,180.0
169,170,1122,2,1,200.0
170,171,1122,2,1,200.0
171,172,1123,5,1,210.0
172,173,1124,26,1,190.0
173,174,1125,1,1,180.0
174,175,1126,6,1,90.0
175,176,1127,3,1,150.0
176,177,1128,2,1,200.0
177,178,1129,3,1,150.0
178,179,1130,27,1,250.0
179,180,1131,5,1,210.0
180,181,1132,4,1,220.0
181,182,1133,1,2,180.0
182,183,1134,12,1,120.0
183,184,1135,2,1,200.0
184,185,1136,2,1,200.0
185,186,1136,2,1,200.0
186,187,1137,6,1,90.0
187,188,1138,1,1,180.0
188,189,1139,1,1,180.0
189,190,1140,12,1,120.0
190,191,1141,15,1,270.0
191,192,1141,4,1,220.0
192,193,1141,6,2,90.0
193,194,1142,5,1,210.0
194,195,1143,4,1,220.0
195,196,1144,4,1,220.0
196,197,1145,28,2,260.0
197,198,1146,5,1,210.0
198,199,1147,1,1,180.0
199,200,1147,3,1,150.0
200,201,1148,5,1,210.0
201,202,1149,21,1,230.0
202,203,1150,5,2,210.0
203,204,1151,6,1,90.0
204,205,1151,4,1,220.0
205,206,1152,3,1,150.0
206,207,1152,4,1,220.0
207,208,1153,1,1,180.0
208,209,1154,3,2,150.0
209,210,1155,25,1,180.0
210,211,1155,6,2,90.0
211,212,1156,3,1,150.0
212,213,1156,6,1,90.0
213,214,1157,6,1,90.0
214,215,1157,2,1,200.0
215,216,1158,2,1,200.0
216,217,1159,2,1,200.0
217,218,1160,6,1,90.0
218,219,1161,2,1,200.0
219,220,1161,4,1,220.0
220,221,1162,6,1,90.0
221,222,1163,1,1,180.0
222,223,1163,3,2,150.0
223,224,1164,2,1,200.0
224,225,1165,6,1,90.0
225,226,1166,19,1,280.0
226,227,1167,5,1,210.0
227,228,1167,4,1,220.0
228,229,1168,12,1,120.0
229,230,1169,2,1,200.0
230,231,1169,30,1,170.0
231,232,1170,3,1,150.0
232,233,1171,6,1,90.0
233,234,1171,25,1,180.0
234,235,1172,2,1,200.0
235,236,1173,3,1,150.0
236,237,1174,2,1,200.0
237,238,1175,2,2,200.0
238,239,1176,3,1,150.0
239,240,1177,2,1,200.0
240,241,1178,21,2,230.0
241,242,1179,1,1,180.0
242,243,1180,13,2,120.0
243,244,1181,1,1,180.0
244,245,1182,2,2,200.0
245,246,1182,1,1,180.0
246,247,1183,17,1,190.0
247,248,1184,2,1,200.0
248,249,1184,3,1,150.0
249,250,1185,1,1,180.0
250,251,1185,18,1,300.0
251,252,1185,32,1,120.0
252,253,1186,3,1,150.0
253,254,1186,3,1,150.0
254,255,1187,3,1,150.0
255,256,1187,5,1,210.0
256,257,1188,6,1,90.0
257,258,1189,5,1,210.0
258,259,1190,3,1,150.0
259,260,1191,5,1,210.0
260,261,1191,1,1,180.0
261,262,1192,1,1,180.0
262,263,1193,5,1,210.0
263,264,1193,5,1,210.0
264,265,1194,2,1,200.0
265,266,1195,6,1,90.0
266,267,1196,6,1,90.0
267,268,1196,9,1,160.0
268,269,1197,3,1,150.0
269,270,1198,10,1,180.0
270,271,1199,18,1,300.0
271,272,1199,1,1,180.0
272,273,1200,24,1,320.0
273,274,1201,5,1,210.0
274,275,1202,3,1,150.0
275,276,1203,4,1,220.0
276,277,1204,12,1,120.0
277,278,1204,4,1,220.0
278,279,1205,30,1,170.0
279,280,1205,5,1,210.0
280,281,1206,2,1,200.0
281,282,1207,4,1,220.0
282,283,1207,3,1,150.0
283,284,1208,5,1,210.0
284,285,1208,2,2,200.0
285,286,1209,18,1,300.0
286,287,1210,19,1,280.0
287,288,1211,6,1,90.0
288,289,1211,2,2,200.0
289,290,1212,6,1,90.0
290,291,1213,6,1,90.0
291,292,1214,5,1,210.0
292,293,1215,2,1,200.0
293,294,1216,1,1,180.0
294,295,1217,3,1,150.0
295,296,1217,1,2,180.0
296,297,1218,2,1,200.0
297,298,1219,3,1,150.0
298,299,1220,4,2,220.0
299,300,1220,6,1,90.0
300,301,1221,32,1,120.0
301,302,1222,6,1,90.0
302,303,1223,20,1,230.0
303,304,1224,1,1,180.0
304,305,1224,5,2,210.0
305,306,1224,2,1,200.0
306,307,1225,4,1,220.0
307,308,1225,6,1,90.0
308,309,1226,30,1,170.0
309,310,1227,1,1,180.0
