,order_id,time,client_type,wishes,type_of_pay,cashier,status_of_order,total_cost
0,1003,2025-04-15 08:09:00,1,,QR,4,1,440.0
1,1001,2025-04-15 08:00:00,1,обезжиренное молоко,Картой,4,1,130.0
2,1002,2025-04-15 08:04:00,1,меньше льда,Картой,2,1,460.0
3,1004,2025-04-15 08:12:00,1,,Картой,4,1,680.0
4,1005,2025-04-15 08:16:00,1,обезжиренное молоко,QR,1,1,210.0
5,1006,2025-04-15 08:21:00,1,без сахара,Картой,1,1,200.0
6,1007,2025-04-15 08:25:00,1,обезжиренное молоко,QR,4,1,90.0
7,1008,2025-04-15 08:27:00,2,меньше льда,Картой,2,1,150.0
8,1009,2025-04-15 08:29:00,3,меньше льда,QR,3,1,180.0
9,1010,2025-04-15 08:32:00,1,,Картой,4,1,200.0
10,1011,2025-04-15 08:34:00,2,,Картой,3,1,640.0
11,1012,2025-04-15 08:38:00,2,,Наличными,4,1,320.0
12,1013,2025-04-15 08:40:00,1,,Картой,4,1,220.0
13,1014,2025-04-15 08:45:00,1,,Картой,1,1,220.0
14,1015,2025-04-15 08:48:00,2,,Наличными,3,1,370.0
15,1016,2025-04-15 08:50:00,1,,QR,2,1,200.0
16,1017,2025-04-15 08:53:00,3,меньше льда,Наличными,1,1,380.0
17,1018,2025-04-15 08:56:00,1,без сахара,Картой,1,1,300.0
18,1019,2025-04-15 09:01:00,3,,QR,3,1,310.0
19,1020,2025-04-15 09:03:00,2,,QR,4,1,100.0
20,1021,2025-04-15 09:07:00,1,меньше льда,QR,4,1,430.0
21,1022,2025-04-15 09:12:00,1,,Картой,2,1,150.0
22,1023,2025-04-15 09:17:00,1,,Картой,1,1,310.0
23,1024,2025-04-15 09:19:00,1,,Картой,3,1,290.0
24,1025,2025-04-15 09:21:00,1,без сахара,QR,1,1,290.0
25,1026,2025-04-15 09:25:00,2,меньше льда,Наличными,4,1,200.0
26,1027,2025-04-15 09:29:00,2,меньше льда,Картой,1,1,210.0
27,1028,2025-04-15 09:32:00,1,меньше льда,Картой,1,1,200.0
28,1029,2025-04-15 09:34:00,3,,Картой,1,1,180.0
29,1030,2025-04-15 09:38:00,2,,Картой,4,1,660.0
30,1031,2025-04-15 09:41:00,2,,QR,2,1,210.0
31,1032,2025-04-15 09:45:00,1,меньше льда,Картой,3,1,210.0
32,1033,2025-04-15 09:47:00,1,меньше льда,Наличными,4,1,150.0
33,1034,2025-04-15 09:50:00,1,,Картой,2,1,220.0
34,1035,2025-04-15 09:52:00,3,,Картой,3,1,720.0
35,1036,2025-04-15 09:54:00,2,,Картой,3,1,380.0
36,1037,2025-04-15 09:57:00,1,обезжиренное молоко,Наличными,2,1,330.0
37,1038,2025-04-15 10:00:00,2,,Картой,3,1,180.0
38,1039,2025-04-15 10:04:00,1,меньше льда,Картой,3,1,200.0
39,1040,2025-04-15 10:09:00,1,,QR,1,1,90.0
40,1041,2025-04-15 10:12:00,2,доп молоко,QR,4,1,300.0
41,1042,2025-04-15 10:17:00,1,,Картой,2,1,210.0
42,1043,2025-04-15 10:20:00,2,,Картой,1,1,250.0
43,1044,2025-04-15 10:23:00,1,меньше льда,QR,1,1,390.0
44,1045,2025-04-15 10:27:00,1,без сахара,Картой,4,1,150.0
45,1046,2025-04-15 10:31:00,2,,Картой,2,1,410.0
46,1047,2025-04-15 10:34:00,1,без сахара,Картой,4,1,420.0
47,1048,2025-04-15 10:38:00,1,без сахара,Картой,1,1,150.0
48,1049,2025-04-15 10:41:00,1,,QR,3,1,90.0
49,1050,2025-04-15 10:46:00,1,доп молоко,Наличными,3,1,360.0
50,1051,2025-04-15 10:50:00,1,меньше льда,Картой,2,1,200.0
51,1052,2025-04-15 10:55:00,1,,Картой,4,1,180.0
52,1053,2025-04-15 10:57:00,1,,Картой,2,1,400.0
53,1054,2025-04-15 11:01:00,2,,Картой,4,1,420.0
54,1055,2025-04-15 11:02:00,2,,Картой,2,1,220.0
55,1056,2025-04-15 11:04:00,1,доп молоко,Картой,3,1,490.0
